leadFirstName,leadLastName,leadEmail,leadSource,leadStatus,leadScore,createdAt,updatedAt
new123,,new123@gmail.com,Outsource,Converted,32,2026-02-22T06:17:24.444Z,2026-02-24T12:47:58.537Z
Lead1,Smith,lead1@gmail.com,Website,Converted,12,2026-02-25T07:43:28.538Z,2026-02-25T11:28:52.406Z
Lead2,Johnson,lead2@gmail.com,Referral,Dead,45,2026-02-25T07:43:28.538Z,2026-02-25T07:43:28.538Z
Lead3,Brown,lead3@gmail.com,Outsource,Converted,32,2026-02-25T07:43:28.538Z,2026-02-25T07:43:28.538Z
Lead4,Taylor,lead4@gmail.com,Website,Follow-Up,78,2026-02-25T07:43:28.538Z,2026-02-25T07:43:28.538Z
Lead5,Anderson,lead5@gmail.com,Referral,New,21,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead6,Thomas,lead6@gmail.com,Website,Dead,55,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead7,Jackson,lead7@gmail.com,Outsource,Follow-Up,67,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead8,White,lead8@gmail.com,Referral,New,14,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead9,Harris,lead9@gmail.com,Website,Converted,89,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead10,Martin,lead10@gmail.com,Outsource,Dead,43,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead11,Lee,lead11@gmail.com,Website,New,25,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead12,Walker,lead12@gmail.com,Referral,Follow-Up,61,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead13,Hall,lead13@gmail.com,Outsource,Dead,38,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead14,Allen,lead14@gmail.com,Website,Converted,72,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead15,Young,lead15@gmail.com,Referral,New,16,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead16,King,lead16@gmail.com,Website,Follow-Up,59,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead17,Wright,lead17@gmail.com,Outsource,Dead,41,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead18,Scott,lead18@gmail.com,Referral,New,29,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
Lead19,Green,lead19@gmail.com,Website,Converted,84,2026-02-25T07:43:28.539Z,2026-02-25T07:43:28.539Z
